# A global planktic foraminifer census data set for the Pliocene ocean
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/19281
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/foley2015/
#
# Archive: Paleoceanography
#
# Parameter_Keywords: sea surface temperature
#---------------------------------------
# Contribution_Date
#    Date: 2015-10-02
#---------------------------------------
# Title
#    Study_Name: A global planktic foraminifer census data set for the Pliocene ocean
#---------------------------------------
# Investigators
#      Investigators: Compilers: Foley, Kevin; Robinson, Marci; Dowsett, Harry; Contributors: Dowsett, Harry; Poore, Richard; Robinson, Marci; Foley, Kevin; Stoll, Danielle; Polanco, Emerson; Wiggs, Linda; Caballero, Rocio; Verardo, Stacy; Strother, Stephanie; West, Stephanie; Lutz, Brendan; Brown, Sarah
#---------------------------------------
# Description and Notes
#        Description: 
#         Provided Keywords: Paleoclimatology, Paleoceanography, Paleobiology, Pliocene, Piacenzian, Sea Surface Temperature, plankton, planktonic foraminifer, global warming
#---------------------------------------
# Publication
# Authors: Harry J. Dowsett, Marci M. Robinson, Alan M. Haywood, Ulrich Salzmann, Daniel Hill, Linda Sohl, Mark Chandler, Mark Williams, Kevin Foley, and Danielle K. Stoll
# Published_Date_or_Year: 2010
# Published_Title: The PRISM3D paleoenvironmental reconstruction
# Journal_Name: Stratigraphy
# Volume: 7
# Issue: 2, 3
# Pages: 123 - 139
# Report Number: 
# DOI: 
# Abstract: The Pliocene Research, Interpretation and Synoptic Mapping (PRISM) paleoenvironmental reconstruction is an internally consistent and comprehensive global synthesis of a past interval of relatively warm and stable climate. It is regularly used in model studies that aim to better understand Pliocene climate, to improve model performance in future climate scenarios, and to distinguish model-dependent climate effects. The PRISM reconstruction is constantly evolving in order to incorporate additional geographic sites and environmental parameters, and is continuously refined by independent research findings. The new PRISM three dimensional (3D) reconstruction differs from previous PRISM reconstructions in that it includes a subsurface ocean temperature reconstruction, integrates geochemical sea surface temperature proxies to supplement the faunal-based temperature estimates, and uses numerical models for the first time to augment fossil data. Here we describe the components of PRISM3D and describe new findings specific to the new reconstruction. Highlights of the new PRISM3D reconstruction include removal of Hudson Bay and the Great Lakes and creation of open waterways in locations where the current bedrock elevation is less than 25m above modern sea level, due to the removal of the West Antarctic Ice Sheet and the reduction of the East Antarctic Ice Sheet. The mid-Piacenzian oceans were characterized by a reduced east-west temperature gradient in the equatorial Pacific, but PRISM3D data do not imply permanent El Ni̱o conditions. The reduced equator-to-pole temperature gradient that characterized previous PRISM reconstructions is supported by significant displacement of vegetation belts toward the poles, is extended into the Arctic Ocean, and is confirmed by multiple proxies in PRISM3D. Arctic warmth coupled with increased dryness suggests the formation of warm and salty paleo North Atlantic Deep Water (NADW) and a more vigorous thermohaline circulation system that may have provided the enhanced ocean heat transport necessary to move warm surface water to the Arctic. New deep ocean temperature data also suggests greater warmth and further southward penetration of paleo NADW.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: USGS Climate and Land Use Change Research and Development Program
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Yorktown
# Location: Virginia
# Country: United States
# Northernmost_Latitude: 37
# Southernmost_Latitude: 37
# Easternmost_Longitude: -76.5
# Westernmost_Longitude: -76.5
# Elevation: 
#---------------------------------------
# Data_Collection
#   Collection_Name: Yorktown Foley15 
#   First_Year: 3250000
#   Last_Year: 3250000
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology: 
# The collection of Yorktown Formation samples are from much studied but poorly dated strat in Virginia USA. The collection includes 23 samples from a measured section, and 3 hand samples collected in the area. The date 3.25 million years before present was assigned to all samples. The formation all samples were colleced from is described as 3.0 to 3.5 million years old in: Dowsett, H. J. and T. M. Cronin (1990). "High eustatic sea level during the middle Pliocene: Evidence from the southeastern U.S. Atlantic Coastal Plain." Geology 18(5): 435-438.
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## SampleID	Sample ID,,,,,paleoceanography,,,C
## locality	name of collection area,,,,,paleoceanography,,,C
## height_m	height above base of section,,,m,,paleoceanography,,,N
## age_Ma	age,,,Million years before present,,paleoceanography,,,N
## c.niti	Candeina nitida,,,count,,paleoceanography,,,N
## d.altisp	Dentoglobigerina altispira,,,count,,paleoceanography,,,N
## d.baroem	Dentoglobigerina baroemoensis,,,count,,paleoceanography,,,N
## g.apert	Globigerina apertura,,,count,,paleoceanography,,,N
## g.bull	Globigerina bulloides,,,count,,paleoceanography,,,N
## g.calid	Globigerina calida,,,count,,paleoceanography,,,N
## g.decora	Globigerina decoraperta,,,count,,paleoceanography,,,N
## g.digit	Globigerina digitata,,,count,,paleoceanography,,,N
## g.eamesi	Globigerina eamesi,,,count,,paleoceanography,,,N
## g.falco	Globigerina falconensis,,,count,,paleoceanography,,,N
## g.incisa	Globigerina incisa,,,count,,paleoceanography,,,N
## g.nepen	Globigerina nepenthes,,,count,,paleoceanography,,,N
## g.obesa	Globigerina obesa,,,count,,paleoceanography,,,N
## g.praed	Globigerina praedigitata,,,count,,paleoceanography,,,N
## g.pseudob	Globigerina pseudobesa,,,count,,paleoceanography,,,N
## g.rubes	Globigerina rubescens,,,count,,paleoceanography,,,N
## g.umbil	Globigerina umbilicata,,,count,,paleoceanography,,,N
## g.woodi	Globigerina woodi,,,count,,paleoceanography,,,N
## globirina.sp	Globigerina spp.,,,count,,paleoceanography,,,N
## g.aequi	Globigerinella aequilateralis,,,count,,paleoceanography,,,N
## g.siphon	Globigerinella siphonifera,,,count,,paleoceanography,,,N
## g.glut	Globigerinita glutinata,,,count,,paleoceanography,,,N
## g.congl	Globigerinoides conglobatus,,,count,,paleoceanography,,,N
## g.fistul	Globigerinoides fistulosis,,,count,,paleoceanography,,,N
## g.obliq	Globigerinoides obliquus,,,count,,paleoceanography,,,N
## g.rub	Globigerinoides ruber,,,count,,paleoceanography,,,N
## g.sac	Globigerinoides sacculifer,,,count,,paleoceanography,,,N
## g.tenell	Globigerinoides tenellus,,,count,,paleoceanography,,,N
## globinoides.sp	Globigerinoides spp.,,,count,,paleoceanography,,,N
## g.conglom	Globoquadrina conglomerata,,,count,,paleoceanography,,,N
## g.venez	Globoquadrina venezuelana,,,count,,paleoceanography,,,N
## g.sphericon	Globorotalia (spheri)conomiozea,,,count,,paleoceanography,,,N
## g.crass	Globorotalia crassaformis,,,count,,paleoceanography,,,N
## g.crsula	Globorotalia crassula,,,count,,paleoceanography,,,N
## g.hirsu	Globorotalia hirsuta,,,count,,paleoceanography,,,N
## g.infla	Globorotalia inflata,,,count,,paleoceanography,,,N
## g.limb	Globorotalia limbata,,,count,,paleoceanography,,,N
## g.margar	Globorotalia margaritae,,,count,,paleoceanography,,,N
## g.menar	Globorotalia menardii,,,count,,paleoceanography,,,N
## g.multic	Globorotalia multicamerata,,,count,,paleoceanography,,,N
## g.praep	Globorotalia praepumilio,,,count,,paleoceanography,,,N
## g.pumi	Globorotalia pumilio,,,count,,paleoceanography,,,N
## g.scit	Globorotalia scitula,,,count,,paleoceanography,,,N
## g.tosaen	Globorotalia tosaensis,,,count,,paleoceanography,,,N
## g.trunc	Globorotalia truncatulinoides,,,count,,paleoceanography,,,N
## g.tumi	Globorotalia tumida,,,count,,paleoceanography,,,N
## g.ungul	Globorotalia ungulata,,,count,,paleoceanography,,,N
## globorot.sp	Globorotalia spp.,,,count,,paleoceanography,,,N
## g.hexag	Globorotaloides hexagona,,,count,,paleoceanography,,,N
## n.acost	Neogloboquadrina acostaensis,,,count,,paleoceanography,,,N
## n.atlan-r	Neogloboquadrina atlantica right coiling,,,count,,paleoceanography,,,N
## n.atlan-l	Neogloboquadrina atlantica left coiling,,,count,,paleoceanography,,,N
## n.contin	Neogloboquadrina continuosa,,,count,,paleoceanography,,,N
## n.duter	Neogloboquadrina dutertrei,,,count,,paleoceanography,,,N
## n.humer	Neogloboquadrina humerosa,,,count,,paleoceanography,,,N
## n.pachy-r	Neogloboquadrina pachyderma right coiling,,,count,,paleoceanography,,,N
## n.pachy-l	Neogloboquadrina pachyderma left coiling,,,count,,paleoceanography,,,N
## neoqrina.sp	Neogloboquadrina spp.,,,count,,paleoceanography,,,N
## dupac	Transitional between N. dutertrei and N. pachyderma,,,count,,paleoceanography,,,N
## o.univer	Orbulina universa,,,count,,paleoceanography,,,N
## p.obliq	Pulleniatina obliquiloculata,,,count,,paleoceanography,,,N
## sphaeropsis.sp	Sphaeroidinellopsis spp.,,,count,,paleoceanography,,,N
## tia.quinq	Turborotalia quinqueloba,,,count,,paleoceanography,,,N
## forams-other	Unidentified foraminifers,,,count,,paleoceanography,,,N
## forams-b	Benthic Foraminifers,,,count,,paleoceanography,,,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
SampleID	locality	height_m	age_Ma	c.niti	d.altisp	d.baroem	g.apert	g.bull	g.calid	g.decora	g.digit	g.eamesi	g.falco	g.incisa	g.nepen	g.obesa	g.praed	g.pseudob	g.rubes	g.umbil	g.woodi	globirina.sp	g.aequi	g.siphon	g.glut	g.congl	g.fistul	g.obliq	g.rub	g.sac	g.tenell	globinoides.sp	g.conglom	g.venez	g.sphericon	g.crass	g.crsula	g.hirsu	g.infla	g.limb	g.margar	g.menar	g.multic	g.praep	g.pumi	g.scit	g.tosaen	g.trunc	g.tumi	g.ungul	globorot.sp	g.hexag	n.acost	n.atlan-r	n.atlan-l	n.contin	n.duter	n.humer	n.pachy-r	n.pachy-l	neoqrina.sp	dupac	o.univer	p.obliq	sphaeropsis.sp	tia.quinq	forams-other	forams-b	
DC1-520	Deep Creek	5.2	3.250	0	1	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	8	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
DC1-500	Deep Creek	5	3.250	0	0	0	6	101	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
DC1-480	Deep Creek	4.8	3.250	0	0	0	8	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-460	Deep Creek	4.6	3.250	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	5	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-440	Deep Creek	4.4	3.250	0	1	0	5	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	11	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	44	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
DC1-420	Deep Creek	4.2	3.250	0	3	0	3	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-400	Deep Creek	4	3.250	0	0	0	6	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	16	26	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-380	Deep Creek	3.8	3.250	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-360	Deep Creek	3.6	3.250	0	0	0	10	87	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	
DC1-340	Deep Creek	3.4	3.250	0	1	0	4	93	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	14	12	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-320	Deep Creek	3.2	3.250	0	0	0	3	100	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	26	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	
DC1-280	Deep Creek	2.8	3.250	0	0	0	0	105	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
DC1-260	Deep Creek	2.6	3.250	0	0	0	3	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-240	Deep Creek	2.4	3.250	0	0	0	7	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
DC1-220	Deep Creek	2.2	3.250	0	1	0	0	111	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	14	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	
DC1-200	Deep Creek	2	3.250	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	15	22	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
DC1-180	Deep Creek	1.8	3.250	0	1	0	8	94	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	20	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	2	0	0	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
DC1-160	Deep Creek	1.6	3.250	0	0	0	3	123	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
DC1-120	Deep Creek	1.2	3.250	0	2	0	0	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	20	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-80	Deep Creek	0.8	3.250	0	1	0	4	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
DC1-60	Deep Creek	0.6	3.250	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	14	19	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
DC1-40	Deep Creek	0.4	3.250	0	1	0	6	93	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	18	27	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DC1-20	Deep Creek	0.2	3.250	0	1	0	6	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
89HD2	Yorktown	NA	3.250	0	2	0	12	123	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	5	0	0	32	50	34	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	5	0	0	0	0	0	0	3	17	0	0	0	3	0	0	0	0	2	0	3	0	0	0	
89TC4	Yadkin Pit	NA	3.250	0	2	0	4	130	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	16	29	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
89HD15	Rice's Pit	NA	3.250	0	2	0	12	138	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	20	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
