Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,,,,,,,,,,,,
GIK23341-3,70.95,-5.55,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.6,97.4,1,0,1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,879,,,,,,,,,,,,
GIK23353-2,70.57,-12.72,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,1,97.5,1.3,0,1.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1244,,,,,,,,,,,,
GIK23365-1,70.54,-1.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,43.4,52.5,2.1,0,2.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,623,,,,,,,,,,,,
GIK23364-6,70.48,-4.01,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.5,0,0,0,0,48.9,47.7,0.9,0,0.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,917,,,,,,,,,,,,
GIK23347-4,70.44,-16.08,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,98.7,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,508,,,,,,,,,,,,
GIK23354-4,70.32,-10.63,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,99.1,0.7,0,0.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,930,,,,,,,,,,,,
GIK23059-2,70.31,-3.12,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.9,0,0,0,0,31.9,63.7,3.5,0,3.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,538,,,,,,,,,,,,
GIK23043-3,70.26,-3.35,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.6,0,0,0,0,38.2,45.3,6.7,0,6.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,0,,435,,,,,,,,,,,,
V23-60,70.05,8.32,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3.9,0,0,0,0,11.2,54.2,29.4,0.3,29.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,1,,,0,0,0,,384,,,,,,,,,,,,
GIK23297-1,70.01,-0.08,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.1,0,0,0,0,44.6,41.9,10.9,0,10.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.5,,,0,0,0,,618,,,,,,,,,,,,
GIK23352-2,70.01,-12.43,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,99.2,0.4,0,0.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,907,,,,,,,,,,,,
GIK23060-2,70,-2.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.7,0,0,0,0,35,55,5.2,0,5.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.1,,,0,0,0,,730,,,,,,,,,,,,
GIK23042-1,70,-0.04,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,41.1,45.1,10.2,0.7,10.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,329,,,,,,,,,,,,
GIK23505-1,69.69,0.48,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.5,0,0,0,0,26.8,57.4,13.9,0,13.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.3,,,0,0,0.1,,914,,,,,,,,,,,,
GIK23058-2,69.5,3,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.3,0,0,0,0,39.1,41.1,16.6,0,16.6,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,0.6,,,0,0,0,,487,,,,,,,,,,,,
PS1249-1,69.5,-19.47,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.6,97.9,1.5,0,1.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,327,,,,,,,,,,,,
PS1246-1,69.41,-12.92,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.1,95.4,1.5,0,1.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,549,,,,,,,,,,,,
V28-38,69.38,-4.4,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.4,93,3.3,0,3.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.3,,,0,0,0,,612,,,,,,,,,,,,
PS1243-1,69.38,-6.51,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,24.5,68.3,6.6,0,6.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.4,,,0,0,0,,519,,,,,,,,,,,,
GIK23480-2,69.37,-10.78,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,99.1,0.7,0,0.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,631,,,,,,,,,,,,
PS1244-1,69.37,-8.67,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,3.3,95.5,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,550,,,,,,,,,,,,
GIK23402-2,68.73,0.17,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.4,0,0,0,0,31.5,43.7,19,0,19,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.1,,,0,0,0.1,,1303,,,,,,,,,,,,
V28-36,68.72,-12.72,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,96.3,3.4,0,3.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,734,,,,,,,,,,,,
GIK23041-1,68.7,-0.24,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.3,0,0,0,0,34.7,41.8,14.1,0,14.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,0,,594,,,,,,,,,,,,
V29-21,68.63,-5.75,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,14.6,66.7,17.1,0,17.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.3,,,0,0,0,,315,,,,,,,,,,,,
V23-73,68.55,2.72,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.3,0,0,0,0,17.5,55.8,22.3,0,22.3,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.9,,,0,0,0.1,,777,,,,,,,,,,,,
V29-218,68.39,-5.43,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,13.6,78.9,6.9,0,6.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.4,,,0,0,0,,450,,,,,,,,,,,,
V23-59,68.33,0.17,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.9,0,0,0,0,34.8,47.1,16,0,16,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.2,,,0,0,0,,939,,,,,,,,,,,,
GIK23298-2,68.33,1.49,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3.9,0.2,0.2,0,0,24.9,48,21.4,0,21.4,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.2,,,0,0,0.1,,462,,,,,,,,,,,,
PS1241-1,68.3,3.64,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.9,0,0,0,0,15.6,50.9,25.7,0,25.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.8,,,0,0,0.1,,514,,,,,,,,,,,,
GIK23044-1,68.24,2.55,Nordic Seas,0,0,0,0,0,0.2,0,0,0,0,,0,0,6.3,0,0,0,0,21.3,48.3,22.4,0.2,22.4,,0,0,0,0,0,0,0,,0,0.2,,0,0,,0,0,1.1,,,0,0,0,,426,,,,,,,,,,,,
GIK23067-2,68.09,1.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3.6,0,0,0,0,23.1,53.5,19.1,0,19.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.7,,,0,0,0,,425,,,,,,,,,,,,
V28-56,68.03,-6.12,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,13.7,83.2,3.1,0,3.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,642,,,,,,,,,,,,
GIK23483-2,67.86,-18.62,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,1.4,93.3,2.3,0,2.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,818,,,,,,,,,,,,
GIK23068-2,67.83,1.5,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,7.6,0,0,0,0,15.5,49.2,24.8,0,24.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.8,,,0,0,0.1,,404,,,,,,,,,,,,
V29-211,67.78,-6.67,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,27.8,69.7,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,1,,597,,,,,,,,,,,,
GIK23332-4,67.7,3.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3.8,0,0,0,0,11.4,47.1,37,0,37,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.8,,,0,0,0,,707,,,,,,,,,,,,
V28-41,67.68,0.23,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,2.3,0,0,0,0,14.1,61.1,22.1,0,22.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.4,,,0,0,0,,740,,,,,,,,,,,,
GIK23335-4,67.67,5.84,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,6.4,0,0,0,0,15.6,35.6,40.6,0,40.6,,0,0,0.3,0,0,0,0,,0,0.2,,0,0,,0,0,1.2,,,0,0,0.1,,726,,,,,,,,,,,,
GIK23300-2,67.66,5.81,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,10.6,0,0,0,0,13.1,37.8,35.4,0.8,35.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.2,,,0,0,0.1,,331,,,,,,,,,,,,
GIK23488-2,67.66,-11.08,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.1,98,0.9,0,0.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,570,,,,,,,,,,,,
GIK23309-1,67.66,5.79,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.6,0,0,0,0,18.1,39.2,31.6,0.3,31.6,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.1,,,0,0,0,,625,,,,,,,,,,,,
GIK23316-3,67.65,5.79,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.2,0,0,0,0,13.6,40.2,36.3,0,36.3,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,0.5,,,0,0,0.1,,704,,,,,,,,,,,,
GIK23039-3,67.65,5.8,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,6.9,0,0,0,0,8.3,45.9,37.2,0,37.2,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,1.4,,,0,0,0,,433,,,,,,,,,,,,
GIK23489-2,67.51,-12.5,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,97.7,2,0,2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,389,,,,,,,,,,,,
PS1239-1,67.5,8.36,Nordic Seas,0,0,0,0.1,0.1,0,0,0,0,0,,0,0,5.8,0,0,0,0,8.4,30.4,54.2,0,54.2,,0,0,0.2,0,0,0,0,,0,0,,0,0,,0,0,0.9,,,0,0,0,,419,,,,,,,,,,,,
GIK23070-2,67.34,2.16,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.9,0,0,0,0,14.3,51.5,28.1,0,28.1,,0,0,0.1,0,0,0,0,,0,0,,0,0,,0,0,1.1,,,0,0,0,,336,,,,,,,,,,,,
GIK23071-2,67.09,2.91,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.1,0,0,0,0,16.6,59.5,18.6,0,18.6,,0,0,0.7,0,0,0,0,,0,0,,0,0,,0,0,0.5,,,0,0,0,,384,,,,,,,,,,,,
GIK23373-1,67.01,2.9,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,3.6,0,0,0,0,14.6,38.3,39.3,0,39.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,4.3,,,0,0,0,,332,,,,,,,,,,,,
GIK23373-1,67.01,2.9,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.7,0,0,0,0,17.4,62.8,16.1,0,16.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.9,,,0,0,0.1,,311,,,,,,,,,,,,
GIK23313-2,67.01,7.78,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,5.7,0,0,0,0,2.5,34.9,51.4,0.1,51.4,,0,0,3.5,0,0,0,0,,0,0,,0,0,,0,0,1.9,,,0,0,0,,294,,,,,,,,,,,,
PS1238-1,66.99,7.75,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.4,0,0,0,0,6.4,29.1,55.3,0.4,55.3,,0,0,0.4,0,0,0,0,,0,0,,0,0,,0,0,4,,,0,0,0,,251,,,,,,,,,,,,
GIK23312-2,66.94,7.74,Nordic Seas,0.1,0,0,0,0,0,0,0,0,0,,0,0,3.2,0,0,0.1,0,13.8,19.9,60.8,0,60.8,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,1.7,,,0,0,0.1,,328,,,,,,,,,,,,
GIK23073-2,66.83,4.41,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.6,0,0,0,0,5.2,59.4,28.2,0,28.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.6,,,0,0,0,,313,,,,,,,,,,,,
V29-210,66.73,-6.73,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,32.7,64.7,1.8,0,1.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.8,,759,,,,,,,,,,,,
GIK23467-2,66.67,4.92,Nordic Seas,0.2,0,1.4,0,1.4,0,0,0,0,0,,0,0,4.7,0,0,0,0,9.4,56.3,25.1,0,25.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.8,,,0,0,0.1,,261,,,,,,,,,,,,
V27-86,66.61,1.12,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,6.8,0,0,0,0,12.5,47.9,30.8,0.1,30.8,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,1.7,,,0,0,0,,769,,,,,,,,,,,,
F2KR07,66.6,-12.45,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,13,0,0,0,0,21,252,12,0,12,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,2,,,0,0,0,,300,,,,,,,,,,,,
PS2656-2,65.86,-4.03,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.4,0,0,0,0,41,53.6,3.8,0,3.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,0,,1183,,,,,,,,,,,,
V29-209,65.6,-6.48,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,33,65.6,1.2,0,1.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.2,,485,,,,,,,,,,,,
GIK23359-2,65.53,-4.15,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.1,0,0,0,0,44.8,49.9,4.1,0,4.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,1119,,,,,,,,,,,,
V28-55,65.52,0.2,Nordic Seas,0.3,0,0,0,0,0,0,0,0,0,,0,0,5.3,0.3,0,0,0,22.4,43,26.6,0.3,26.6,,0,0,0.5,0,0,0,0,,0,0,,0,0,,0,0,1,,,0,0,0.3,,398,,,,,,,,,,,,
GIK23037-2,65.52,-0.11,Nordic Seas,0,0,0,0.3,0.3,0,0,0,0,0,,0,0,7.1,0,0,0,0,18,53.7,18.9,0.6,18.9,,0,0,0.3,0,0,0,0,,0,0,,0,0,,0,0,1.1,,,0,0,0,,570,,,,,,,,,,,,
V29-220,65.17,-0.07,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,4.3,0,0,0,0,27.4,44.6,20.5,0,20.5,,0,0,0.2,0,0,0,0,,0,0,,0,0,,0,0,2.1,,,0,0,0.9,,419,,,,,,,,,,,,
GIK23516-1,65.03,-28.28,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,36.2,0,0,0,0,14.3,10.6,28,0,28,,0,0,1,0,0,0,0,,0,0,,0,0,,0,0,9.9,,,0,0,0,,293,,,,,,,,,,,,
V27-44,65.02,-6.22,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,20.7,74.2,4.5,0,4.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.2,,,0,0,0,,808,,,,,,,,,,,,
GIK23498-1,64.95,3.53,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,8.1,0,0,0,0,2.6,38.8,45.9,0,45.9,,0,0,2.9,0,0,0,0,,0,0,,0,0,,0,0,1.6,,,0,0,0.1,,307,,,,,,,,,,,,
V28-34,64.83,-3.58,Nordic Seas,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,148,471,63,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,696,,,,,,,,,,,,
V28-60,64.83,-4.33,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20.6,68.4,9.9,0,9.9,,0,0,0.2,0,0,0,0,,0,0,,0,0,,0,0,0.9,,,0,0,0,,588,,,,,,,,,,,,
GIK23519-4,64.8,-29.6,North Atlantic,0.1,0,0,0,0,0,0,0,0,0,,0,0,33.2,0,0,0,0,13.4,12.1,29.8,0.5,29.8,,0,0,0.8,0,0,0,0,,0,0.6,,0,0,,0,0,9.6,,,0,0,0,,853,,,,,,,,,,,,
O1KR11,64.77,-1.2698,North Atlantic,,,,,,,,,,,,,,45,,,,,30,72,141,,141,,,,4,,,0,,,,1,,,,,,,10,,,,,,,303,,,,,,,,,,,,
GIK23503-1,64.77,4.5,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.6,0,0,0,0,6.3,26.9,53.7,0,53.7,,0,0,1.8,0,0,0,0,,0,0,,0,0,,0,0,1.4,,,0,0,0.3,,490,,,,,,,,,,,,
GIK23500-1,64.72,4.92,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,9.2,0,0,0,0,4.3,23,58.3,0,58.3,,0,0,2.2,0,0,0,0,,0,0,,0,0,,0,0,3,,,0,0,0,,369,,,,,,,,,,,,
GIK23517-3,64.69,-29.09,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,34.5,0,0,0,0,14.6,10.6,30.4,0,30.4,,0,0,0.3,0,0,0,0,,0,0.3,,0,0,,0,0,9.1,,,0,0,0.2,,582,,,,,,,,,,,,
GIK23502-1,64.62,4.45,Nordic Seas,0.2,0,0,0,0,0,0,0,0,0,,0,0,3.5,0,0,0,0,0.5,36,58.7,0,58.7,,0,0,1.1,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,454,,,,,,,,,,,,
GIK23518-2,64.54,-28.2,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,18.9,0.2,0,0,0,44.5,4.8,19.3,0,19.3,,0,0,0.2,0,0,0,0,,0,1.5,,0,0,,0,0,10.7,,,0,0,0,,477,,,,,,,,,,,,
GIK23522-2,63.76,-28.66,North Atlantic,0,0,0,0.2,0.2,0,0,0,0,0,,0,0,42.6,0,0.2,0,0,6.4,12.3,29,0.6,29,,0,0,0.5,0,0,0,0.2,,0,0.5,,0,0,,0,0,7.6,,,0,0,0,,620,,,,,,,,,,,,
SP010-005,63.47,-0.07,Nordic Seas,0.4,0,0,0,0,0,0,0,0,0,,0,0,1.8,0,0,0,0,1.1,49.6,43.9,0,43.9,,0,0,0.7,0.4,0,0.4,0,,0,0,,0,0,,0,0,1.4,,,0,0,0.7,,278,,,,,,,,,,,,
V27-40,63.45,-6.13,Nordic Seas,2.3,0,0,0,0,0,0,0,0,0,,0,0,11.2,0,0,0,0,3.4,40.3,19.2,0,19.2,,0,0,23.6,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,437,,,,,,,,,,,,
GIK23526-3,63.4,-28.06,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,35.3,0.2,0,0,0,15,16.7,23.2,0.2,23.2,,0,0,0.5,0,0,0,0,,0,0.7,,0,0,,0,0,8.2,,,0,0,0,,414,,,,,,,,,,,,
GIK23525-3,63.25,-27.6,North Atlantic,0.2,0,0,0,0,0,0,0,0,0,,0,0,40.3,0,0,0,0,6,18.2,26,0,26,,0,0,1.3,0,0,0,0.2,,0,0.3,,0,0,,0,0,7.5,,,0,0,0,,600,,,,,,,,,,,,
GIK23528-3,63.16,-28.84,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,31.5,0,0,0,0,23.9,9.4,24.5,0.5,24.5,,0,0,0.5,0,0,0,0,,0,0.2,,0,0,,0,0,9.4,,,0,0,0.1,,603,,,,,,,,,,,,
GIK23524-2,63.01,-29.91,North Atlantic,0.1,0,0,0,0,0,0,0,0,0,,0,0,27,0,0,0,0,16,18.9,27.5,0.2,27.5,,0,0,0.7,0,0,0,0.1,,0,0.9,,0,0,,0,0,8.6,,,0,0,0,,883,,,,,,,,,,,,
V28-33,62.9,0.58,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.9,0,0,0,0,1.7,40.1,52.2,0,52.2,,0,0,0.5,0,0,0,0,,0,0,,0,0,,0,0,3.6,,,0,0,0,,419,,,,,,,,,,,,
V27-104,62.86,-17.93,North Atlantic,0.7,0,0,0,0,0,0,0,0,0,,0,0,3.1,0.2,0,0,0,0.2,43.9,27.4,0.7,27.4,,0,0,17.2,0,0,0,0,,3.1,0,,0,0,,0,0,3.1,,,0,0,0.4,,424,,,,,,,,,,,,
V29-222,62.85,-14.53,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,24.8,0.3,0,0,0,15.4,14.3,25.1,0,25.1,,0,0,0.8,0,0,0,0,,0,0.8,,0,0,,0,0,14.6,,,0,0,3.9,,371,,,,,,,,,,,,
GIK23527-3,62.79,-29.89,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,32.8,0,0,0,0,29.3,7.7,20.1,0,20.1,,0,0,0.2,0,0,0,0,,0.2,0.2,,0,0,,0,0,9.4,,,0,0,0.1,,478,,,,,,,,,,,,
V23-38,62.65,-27.53,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,21.6,1.9,0,0,0,22.6,10.6,27.6,0,27.6,,0,0,0.4,0,0,0,0,,0,0.2,,0,0,,0,0,10.6,,,0,0,4.5,,463,,,,,,,,,,,,
NEAP-02B,62.4,-23.2,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,24.8,0.6,0,0,0,16.5,1.3,39,0,39,,0,0,1.7,0,0,0,0,,0,0.4,,0,0,,0,0,15.7,,,0,0,0,,472,,,,,,,,,,,,
O1KS13,62.35,-0.22,Nordic Seas,,,,,,,,,,,,,,19,,,,,7,35,220,,220,,,,3,,,0,,,,,,,,,,,16,,,,,,,300,,,,,,,,,,,,
GIK23523-3,62.25,-30.22,North Atlantic,0,0,0,0.2,0.2,0,0,0,0,0,,0,0,32.8,0,0.2,0,0,24.3,9.7,22.6,2,22.6,,0,0,0.5,0,0,0,0,,0,0.3,,0,0,,0,0,7.4,,,0,0,0,,658,,,,,,,,,,,,
O1KR07,62.17,-2.48,Nordic Seas,1,,,,,,,,,,,,,37,,,,,19,4,223,,223,,,,6,,,0,,,,,,,,,,,25,,,,,,,315,,,,,,,,,,,,
V27-102,62.13,-14.21,Nordic Seas,0.4,0,0,0,0,0,0,0,0,0,,0,0,11.2,0,0,0,0,0.7,39.7,38.4,0,38.4,,0,0,3.7,0,0,0,0,,0,0.1,,0,0.3,,0.3,0,5.5,,,0,0,0,,1046,,,,,,,,,,,,
F1KR04,61.98,-2.5,Nordic Seas,,,,,,,,,,,,,,38,,,,,7,15,225,,225,,,,4,,,0,,,,,,,,,,,19,,,,,,,308,,,,,,,,,,,,
V27-33,61.93,-33.27,North Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0,0,70,148,109,4,109,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,5,426,,,,,,,,,,,,
V29-223,61.92,-24.05,North Atlantic,0.3,0,0,0,0,0,0,0,0,0,,0,0,24,1.7,0,0,0,7.8,7.2,34,0,34,,0,0,2.8,0,0,0,0,,0,0.8,,0,0,,0,0,17.3,,,0,0,4.1,,359,,,,,,,,,,,,
NEAP-03B,61.87,-23.94,North Atlantic,0,0,0,0,0,0,0,0,0,0,,0,0,24.5,0.2,0,0,0,7.6,0.8,43.2,0,43.2,,0,0,2.9,0,0,0,0,,0,0.2,,0,0,,0,0,20.7,,,0,0,0,,661,,,,,,,,,,,,
O1KR14,61.65,-2.4,Nordic Seas,,,,,,,,,,,,,,31,,,,,1,32,226,,226,,,,8,,,0,,,,,,,,,,,11,,,,,,,309,,,,,,,,,,,,
V29-205,61.55,-25.12,North Atlantic,0,0,0,0.2,0.2,0,0,0,0,0,,0,0,23.5,0,0,0,0,5.4,1,35.8,0.7,35.8,,0,0,3.2,0,0,0,0,,0,0.5,,0,0,,0,0,27.2,,,0,0,2.5,,405,,,,,,,,,,,,
