Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,,,,,,,,,,,,
V27-80,78.39,7.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.3,96.4,2.3,0,2.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,304,,,,,,,,,,,,
V27-79,78.12,3.62,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2.5,94.9,2.6,0,2.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,606,,,,,,,,,,,,
PS1291-3,78.07,8.07,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.8,99.2,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,806,,,,,,,,,,,,
PS1290-3,78.05,8.73,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,10.3,87.5,1.9,0,1.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,368,,,,,,,,,,,,
PS1294-3,78,5.37,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,99.1,0.2,0,0.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.2,,429,,,,,,,,,,,,
PS1296-3,78,0.67,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.4,99.1,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,424,,,,,,,,,,,,
PS1298-3,78,-3.52,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,772,,,,,,,,,,,,
PS1293-3,78,6.69,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.6,94.5,0.8,0,0.8,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,494,,,,,,,,,,,,
PS1292-3,78,7.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.4,95.3,0.3,0,0.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,383,,,,,,,,,,,,
PS1295-4,77.99,2.45,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.4,97.7,0.9,0,0.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,450,,,,,,,,,,,,
