Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
V19-248,-24.57,4.8332,South Atlantic,1.3,0,0.2,10.8,11,1.5,4.5,1.7,,0.2,,2.2,2.2,1.1,5,0.2,1.1,0,0,0,13.8,2.8,13.8,,0,0,23.8,2.2,3.9,6.1,0.6,,1.7,2.2,,4.1,0.4,,4.5,0,8.4,,,0,0,4.1,,463
GeoB1207-2,-24.60,6.855,South Atlantic,2.2,0,0.1,9.2,9.3,0.6,4.5,1.1,,0.2,,4.1,0.6,16.9,0,0.4,1,0,0.3,0.1,6.3,8.8,6.3,,0,0.1,22.1,3.1,4.7,7.8,1.6,,2,1.3,,1.7,0.9,,2.6,0,6.1,,,0,0,0.1,,995
V16-39,-24.73,-4.7582,South Atlantic,3.2,0.8,0.3,26.8,27.1,1.1,5.5,1.3,,0.3,,3.7,1.8,0.3,6.3,1.6,0.5,0,0.3,0,0.5,0.8,0.5,,0,1.3,18.9,1.8,7.9,9.7,0.3,,1.6,1.3,,3.2,2.1,,5.3,0,4.5,,,0,0,2,,380
GeoB1215-1,-24.84,6.8448,South Atlantic,1.8,0,0,6.8,6.8,1.6,4.1,1.5,,0.2,,4,1,9.2,0,0.9,0,0,0.3,0.5,7.1,12.1,7.1,,0,0,20.6,4.8,4.5,9.3,1.3,,1.6,3.6,,6.4,0.2,,6.6,0,6.1,,,0,0,0,,660
GeoB1216-2,-24.93,6.788,South Atlantic,0.6,0.5,0,8,8,3.2,1.4,0.8,,0,,4.7,1.7,14.2,0.3,0.8,0,0,1.1,0.8,7.5,19.5,7.5,,0,0,15.5,2.8,1.4,4.2,1.3,,1.4,2.8,,1.2,0.3,,1.5,0,8.1,,,0,0,0,,726
GeoB1217-1,-24.95,6.7248,South Atlantic,1.3,0,0,6.8,6.8,2.5,1.7,0.9,,0,,4,1.7,13.6,0.9,1.3,0,0,0.8,0.4,11,17,11,,0,0,16.1,4.2,0.9,5.1,1.7,,2.1,3,,1.7,0,,1.7,0,6.4,,,0,0,0,,658
RC08-22,-24.97,-13.267,South Atlantic,2.1,1.1,2.1,36.5,38.6,3.4,3,1.7,,0.9,,4.9,1.9,0,2.6,0.9,1.9,0,0,0,0.6,0,0.6,,0,0,6.9,2.8,6.9,9.7,0.2,,2.1,2.1,,2.4,0,,2.4,0,9.9,,,0,0,3.1,,466
GeoB1204-3,-25.05,5.498,South Atlantic,1.9,0,0,10.1,10.1,0.2,1.9,0.4,,0.5,,4.5,0.6,15.1,0.7,0,0.4,0,1.1,0,6.2,7.2,6.2,,0,0,25.1,5,4.1,9.1,2.8,,1.7,3.4,,3.3,0.6,,3.9,0,3.3,,,0,0,0,,695
RC08-23,-25.15,-12.767,South Atlantic,0.9,0.9,2.8,34.3,37.1,5.4,2.6,1.4,,0,,6.1,1.4,2.1,3.3,1.6,4,0,0,0,0,0,0,,0,0,9.8,2.6,2.8,5.4,0.2,,2.1,1.4,,1.4,0.2,,1.6,0,9.6,,,0,0,3.1,,429
GeoB1218-1,-25.17,5.918,South Atlantic,0.9,0.3,0,7.2,7.2,2.1,0.9,0.3,,0.1,,5.4,4.3,16.2,0,0.9,0.1,0,1,0.1,9.2,7.9,9.2,,0,0,15,6,7.4,13.3,0.7,,1.4,1.6,,2.5,0,,2.5,0,8.3,,,0,0,0.4,,549
GeoB1220-2,-25.17,5.307,South Atlantic,1.6,0.2,0.1,5.9,6,4.3,3.7,0.6,,0.2,,3.3,4.2,12.8,0.4,0,0,0,1.8,0,9.4,7.1,9.4,,0,0,17.2,3.3,3.2,6.5,1.4,,2.1,2.3,,5.1,0.6,,5.7,0,8.8,,,0,0,0.6,,574
RC13-229,-25.49,11.307,South Atlantic,2.1,0,0,1.8,1.8,0,0,0.4,,0,,0.4,0,1.4,0,1.1,0,0,0,2.1,61,0.7,61,,0,0,25.2,0,0.4,0.4,0.4,,1.1,0,,0,0,,0,0,0.4,,,0,0,1.5,,282
RC15-151,-25.69,-40.583,South Atlantic,1.2,2.4,9,40.3,49.3,3.2,2.2,1.4,,0,,2.8,5,0.6,0.6,1,2.4,0,0,0,0.2,0,0.2,,0,0.2,0.4,0,2,2,0,,0.2,0.8,,4.2,0,,4.2,0,17.2,,,0,0,2.7,,501
V19-246,-25.77,4.0998,South Atlantic,1,0,0,7.1,7.1,0.8,4.1,2,,1.2,,2.4,0,0,7.9,0,1.4,0,0,0.4,9.3,0,9.3,,0,0,24.2,3.7,6.7,10.4,0.4,,2.8,5.9,,5.3,0.4,,5.7,0,8.1,,,0,0,4.9,,508
V19-245,-26.20,4.6832,South Atlantic,1.8,0,0,12.3,12.3,0.9,4.9,2.8,,0,,6.2,2.8,0.6,3.7,0.3,0.3,0.3,0.3,0,9.8,0.3,9.8,,0,0,24.1,3.1,5.2,8.3,0,,3.7,2.8,,4.6,0,,4.6,0,5.8,,,0.3,0,3.5,,325
RC08-27,-26.23,-10.608,South Atlantic,2.1,1.2,0.6,30.8,31.4,2.7,3,1.2,,0.9,,5.4,1.5,0,3,2.4,2.1,0,0,0,0,0.3,0,,0,0,15.3,1.5,9.6,11.1,0,,2.4,2.1,,1.2,0,,1.2,0,7.2,,,0,0,3.5,,334
GeoB1203-2,-26.55,5.017,South Atlantic,2.4,0,0,9.4,9.4,0,5.2,0.9,,0.9,,3.5,3.3,10,0.9,0.9,0.9,0,0.3,0,4.3,7,4.3,,0,0,24.1,2.1,4,6.1,1.2,,3,3.3,,5.5,0.3,,5.8,0,5.8,,,0,0,0.4,,406
RC08-28,-26.58,-9.4332,South Atlantic,1.3,1,0.3,27.5,27.8,3.6,5.8,0.3,,0.6,,6.1,1.9,1.6,5.2,1.3,1.9,0,0,0,0,0,0,,0,0.3,13.3,1.6,6.1,7.7,0,,1.6,3.2,,2.3,0,,2.3,0,10.4,,,0,0,2.8,,309
V27-190,-27.60,-20.313,South Atlantic,0.6,1.1,1.1,48.3,49.4,0.6,1.7,1.5,,0.2,,3.4,0.8,1.5,2.5,1.5,1.3,0,0,0.4,1.3,0,1.3,,0,0,8.4,5.7,5.3,11,0.6,,1.3,0.2,,1.3,0,,1.3,0,6.1,,,0,0,3.3,,474
V16-41,-27.87,-1.1,South Atlantic,0.3,0.3,0,16.4,16.4,0.3,2.5,0.9,,1.3,,4.1,0,1.6,9.1,0.6,0,0,0.3,0,2.2,0,2.2,,0,0,27.4,3.8,4.7,8.5,0,,6.3,4.1,,2.5,0.9,,3.4,0,6.3,,,0,0,4.1,,317
V16-190,-27.95,-42.45,South Atlantic,1.3,2.1,3.2,37.1,40.3,1.4,3.1,1.9,,0,,2.7,0.4,3.5,3.7,0,0.9,0,0,0.1,5.6,0.9,5.6,,0,1,11.2,3.8,2.7,6.5,2.3,,1.5,0.9,,1,1,,2,0,4.6,,,0,0,2.1,,1156
